symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
OANDO,avellaneda_stoikov,10,294648,13.5317,14.5317,3.16778,596,3.81455e+06,1.97494e+06,1.83962e+06,6240,992,724,1
OANDO,baseline,11,152721,10.3831,10.5311,2.71575,336,2.12346e+06,1.11364e+06,1.00981e+06,6240,854,710,1
OANDO,avellaneda_stoikov,11,266078,0.5489,6.3079,1.6499,543,3.50383e+06,1.75466e+06,1.74917e+06,6240,921,710,1
OANDO,baseline,12,20833.4,6.9347,10.4638,2.27562,375,2.37015e+06,1.21975e+06,1.1504e+06,6240,916,741,1
OANDO,avellaneda_stoikov,12,174704,12.5668,12.7902,3.20176,589,3.73223e+06,1.92895e+06,1.80328e+06,6240,993,741,1
OANDO,baseline,13,116301,8.2853,9.8402,2.97956,338,2.2203e+06,1.15158e+06,1.06872e+06,6240,880,711,1
OANDO,avellaneda_stoikov,13,287857,3.7107,5.6868,1.54838,564,3.66800e+06,1.85256e+06,1.81545e+06,6240,961,711,1
OANDO,baseline,14,150457,-1.0361,8.4878,2.29133,328,1.8848e+06,937220,947581,6240,824,687,1
OANDO,avellaneda_stoikov,14,280669,-15.1721,16.7938,3.73679,543,3.22573e+06,1.537e+06,1.68872e+06,6240,893,687,1
OANDO,baseline,15,78405.3,3.2461,4.6017,1.26115,306,1.8897e+06,961081,928620,6240,790,652,1
OANDO,avellaneda_stoikov,15,214333,-6.4115,7.6826,1.8028,505,3.09948e+06,1.51768e+06,1.5818e+06,6240,859,652,1
OANDO,baseline,16,177778,0.8012,9.5027,2.97372,356,2.22336e+06,1.11568e+06,1.10767e+06,6240,927,756,1
OANDO,avellaneda_stoikov,16,251976,-4.1245,6.6154,1.94388,575,3.62551e+06,1.79213e+06,1.83338e+06,6240,1000,756,1
OANDO,baseline,17,140914,-1.0014,7.5276,1.69099,360,2.3307e+06,1.16034e+06,1.17036e+06,6240,849,683,1
OANDO,avellaneda_stoikov,17,291087,7.0017,7.3475,1.62966,570,3.63015e+06,1.85008e+06,1.78007e+06,6240,922,683,1
OANDO,baseline,18,187937,-0.0627,8.2126,2.61177,391,2.63039e+06,1.31488e+06,1.31551e+06,6240,930,727,1
OANDO,avellaneda_stoikov,18,246893,-3.856,10.4427,2.31771,574,3.74292e+06,1.85218e+06,1.89074e+06,6240,992,727,1
OANDO,baseline,19,167039,-0.9377,7.817,2.68242,353,2.26902e+06,1.12982e+06,1.1392e+06,6240,914,729,1
OANDO,avellaneda_stoikov,19,276427,12.7718,13.6777,2.64691,572,3.66658e+06,1.89715e+06,1.76943e+06,6240,994,729,1
OANDO,baseline,20,156590,-6.8129,8.1302,2.40343,364,2.28176e+06,1.10681e+06,1.17494e+06,6240,892,721,1
OANDO,avellaneda_stoikov,20,226449,1.4507,5.0513,1.5362,556,3.47412e+06,1.74432e+06,1.72981e+06,6240,946,721,1
OANDO,baseline,21,183814,-0.3506,13.6575,5.25722,358,2.17025e+06,1.08337e+06,1.08688e+06,6240,875,736,1
OANDO,avellaneda_stoikov,21,345839,6.4562,11.9354,2.91037,567,3.57313e+06,1.81884e+06,1.75428e+06,6240,958,736,1
OANDO,baseline,22,45816.1,9.7262,12.9546,3.18701,344,2.05384e+06,1.07555e+06,978290,6240,827,682,1
OANDO,avellaneda_stoikov,22,250939,1.173,5.8722,1.53021,550,3.28902e+06,1.65037e+06,1.63864e+06,6240,895,682,1
OANDO,baseline,23,194754,-7.995,10.8375,2.93333,377,2.4742e+06,1.19713e+06,1.27708e+06,6240,936,749,1
OANDO,avellaneda_stoikov,23,274442,1.4536,6.3252,1.45226,615,3.9368e+06,1.97567e+06,1.96113e+06,6240,1013,749,1
OANDO,baseline,24,99058.7,-6.8784,8.3746,2.51741,353,2.20429e+06,1.06775e+06,1.13654e+06,6240,908,740,1
OANDO,avellaneda_stoikov,24,313567,8.5055,12.0737,3.02687,594,3.6168e+06,1.85093e+06,1.76587e+06,6240,980,740,1
OANDO,baseline,25,161041,1.0679,8.9611,2.37403,331,2.17164e+06,1.09116e+06,1.08048e+06,6240,853,694,1
OANDO,avellaneda_stoikov,25,269681,5.6836,6.6768,1.42913,572,3.62152e+06,1.83918e+06,1.78234e+06,6240,930,694,1
OANDO,baseline,26,134096,1.361,4.7537,1.80184,384,2.46146e+06,1.23753e+06,1.22392e+06,6240,928,743,1
OANDO,avellaneda_stoikov,26,288178,3.3593,5.9102,1.48789,611,3.87458e+06,1.95409e+06,1.92049e+06,6240,1002,743,1
OANDO,baseline,27,178554,11.2179,18.8677,6.2176,362,2.29076e+06,1.20147e+06,1.08929e+06,6240,868,701,1
OANDO,avellaneda_stoikov,27,278129,-2.3424,6.1613,1.68938,559,3.48982e+06,1.7332e+06,1.75662e+06,6240,929,701,1
OANDO,baseline,28,207849,-8.2834,9.1901,3.45412,360,2.27148e+06,1.09432e+06,1.17716e+06,6240,902,737,1
